Premium_Term,Gender,Income,Occupation,Marital_Status,Location,Children,Benefit_Term
5,Male,<3L,Business Owner,Widowed,Rural,No,15
5,Male,<3L,Teacher,Single,Urban,Yes,15
5,Male,<3L,Teacher,Single,Urban,No,15
5,Male,<3L,Teacher,Single,Semi-urban,Yes,10
5,Male,<3L,Teacher,Single,Semi-urban,No,15
5,Male,<3L,Teacher,Single,Rural,Yes,10
5,Male,<3L,Teacher,Single,Rural,No,10
5,Male,<3L,Teacher,Married,Urban,Yes,10
5,Male,<3L,Teacher,Married,Urban,No,10
5,Male,<3L,Teacher,Married,Semi-urban,Yes,15
5,Male,<3L,Teacher,Married,Semi-urban,No,10
5,Male,<3L,Teacher,Married,Rural,Yes,10
5,Male,<3L,Teacher,Married,Rural,No,10
5,Male,<3L,Teacher,Widowed,Urban,Yes,15
5,Male,<3L,Teacher,Widowed,Urban,No,10
5,Male,<3L,Teacher,Widowed,Semi-urban,Yes,10
5,Male,<3L,Teacher,Widowed,Semi-urban,No,15
5,Male,<3L,Teacher,Widowed,Rural,Yes,15
5,Male,<3L,Teacher,Widowed,Rural,No,15
5,Male,<3L,Self-employed,Single,Urban,Yes,15
5,Male,<3L,Self-employed,Single,Urban,No,15
5,Male,<3L,Self-employed,Single,Semi-urban,Yes,15
5,Male,<3L,Self-employed,Single,Semi-urban,No,10
5,Male,<3L,Self-employed,Single,Rural,Yes,15
5,Male,<3L,Self-employed,Single,Rural,No,10
5,Male,<3L,Self-employed,Married,Urban,Yes,10
5,Male,<3L,Self-employed,Married,Urban,No,10
5,Male,<3L,Self-employed,Married,Semi-urban,Yes,15
5,Male,<3L,Self-employed,Married,Semi-urban,No,10
5,Male,<3L,Self-employed,Married,Rural,Yes,15
5,Male,<3L,Self-employed,Married,Rural,No,15
5,Male,<3L,Self-employed,Widowed,Urban,Yes,15
5,Male,<3L,Self-employed,Widowed,Urban,No,10
5,Male,<3L,Self-employed,Widowed,Semi-urban,Yes,10
5,Male,<3L,Self-employed,Widowed,Semi-urban,No,15
5,Male,<3L,Self-employed,Widowed,Rural,Yes,10
5,Male,<3L,Self-employed,Widowed,Rural,No,10
5,Male,<3L,Engineer,Single,Urban,Yes,15
5,Male,<3L,Engineer,Single,Urban,No,15
5,Male,<3L,Engineer,Single,Semi-urban,Yes,10
5,Male,<3L,Engineer,Single,Semi-urban,No,15
5,Male,<3L,Engineer,Single,Rural,Yes,10
5,Male,<3L,Engineer,Single,Rural,No,15
5,Male,<3L,Engineer,Married,Urban,Yes,15
5,Male,<3L,Engineer,Married,Urban,No,10
5,Male,<3L,Engineer,Married,Semi-urban,Yes,15
5,Male,<3L,Engineer,Married,Semi-urban,No,10
5,Male,<3L,Engineer,Married,Rural,Yes,10
5,Male,<3L,Engineer,Married,Rural,No,10
5,Male,<3L,Engineer,Widowed,Urban,Yes,15
5,Male,<3L,Engineer,Widowed,Urban,No,10
5,Male,<3L,Engineer,Widowed,Semi-urban,Yes,10
5,Male,<3L,Engineer,Widowed,Semi-urban,No,10
5,Male,<3L,Engineer,Widowed,Rural,Yes,15
5,Male,<3L,Engineer,Widowed,Rural,No,10
5,Male,3–6L,Farmer,Single,Urban,Yes,15
5,Male,3–6L,Farmer,Single,Urban,No,15
5,Male,3–6L,Farmer,Single,Semi-urban,Yes,10
5,Male,3–6L,Farmer,Single,Semi-urban,No,15
5,Male,3–6L,Farmer,Single,Rural,Yes,15
5,Male,3–6L,Farmer,Single,Rural,No,15
5,Male,3–6L,Farmer,Married,Urban,Yes,10
5,Male,3–6L,Farmer,Married,Urban,No,10
5,Male,3–6L,Farmer,Married,Semi-urban,Yes,10
5,Male,3–6L,Farmer,Married,Semi-urban,No,15
5,Male,3–6L,Farmer,Married,Rural,Yes,10
5,Male,3–6L,Farmer,Married,Rural,No,10
5,Male,3–6L,Farmer,Widowed,Urban,Yes,15
5,Male,3–6L,Farmer,Widowed,Urban,No,10
5,Male,3–6L,Farmer,Widowed,Semi-urban,Yes,15
5,Male,3–6L,Farmer,Widowed,Semi-urban,No,10
5,Male,3–6L,Farmer,Widowed,Rural,Yes,15
5,Male,3–6L,Farmer,Widowed,Rural,No,10
5,Male,3–6L,Clerk,Single,Urban,Yes,10
5,Male,3–6L,Clerk,Single,Urban,No,10
5,Male,3–6L,Clerk,Single,Semi-urban,Yes,10
5,Male,3–6L,Clerk,Single,Semi-urban,No,10
5,Male,3–6L,Clerk,Single,Rural,Yes,15
5,Male,3–6L,Clerk,Single,Rural,No,10
5,Male,3–6L,Clerk,Married,Urban,Yes,10
5,Male,3–6L,Clerk,Married,Urban,No,15
5,Male,3–6L,Clerk,Married,Semi-urban,Yes,15
5,Male,3–6L,Clerk,Married,Semi-urban,No,15
5,Male,3–6L,Clerk,Married,Rural,Yes,10
5,Male,3–6L,Clerk,Married,Rural,No,15
5,Male,3–6L,Clerk,Widowed,Urban,Yes,15
5,Male,3–6L,Clerk,Widowed,Urban,No,10
5,Male,3–6L,Clerk,Widowed,Semi-urban,Yes,15
5,Male,3–6L,Clerk,Widowed,Semi-urban,No,15
5,Male,3–6L,Clerk,Widowed,Rural,Yes,10
5,Male,3–6L,Clerk,Widowed,Rural,No,15
5,Male,3–6L,Business Owner,Single,Urban,Yes,15
5,Male,3–6L,Business Owner,Single,Urban,No,10
5,Male,3–6L,Business Owner,Single,Semi-urban,Yes,10
5,Male,3–6L,Business Owner,Single,Semi-urban,No,10
5,Male,3–6L,Business Owner,Single,Rural,Yes,15
5,Male,3–6L,Business Owner,Single,Rural,No,10
5,Male,3–6L,Business Owner,Married,Urban,Yes,10
5,Male,3–6L,Business Owner,Married,Urban,No,15
5,Male,3–6L,Business Owner,Married,Semi-urban,Yes,15
5,Male,3–6L,Business Owner,Married,Semi-urban,No,15
5,Male,3–6L,Business Owner,Married,Rural,Yes,10
5,Male,3–6L,Business Owner,Married,Rural,No,10
5,Male,3–6L,Business Owner,Widowed,Urban,Yes,10
5,Male,3–6L,Business Owner,Widowed,Urban,No,15
5,Male,3–6L,Business Owner,Widowed,Semi-urban,Yes,10
5,Male,3–6L,Business Owner,Widowed,Semi-urban,No,15
5,Male,3–6L,Business Owner,Widowed,Rural,Yes,15
5,Male,3–6L,Business Owner,Widowed,Rural,No,10
5,Male,3–6L,Teacher,Single,Urban,Yes,10
5,Male,3–6L,Teacher,Single,Urban,No,15
5,Male,3–6L,Teacher,Single,Semi-urban,Yes,10
5,Male,3–6L,Teacher,Single,Semi-urban,No,10
5,Male,3–6L,Teacher,Single,Rural,Yes,10
5,Male,3–6L,Teacher,Single,Rural,No,10
5,Male,3–6L,Teacher,Married,Urban,Yes,15
5,Male,3–6L,Teacher,Married,Urban,No,15
5,Male,3–6L,Teacher,Married,Semi-urban,Yes,10
5,Male,3–6L,Teacher,Married,Semi-urban,No,10
5,Male,3–6L,Teacher,Married,Rural,Yes,15
5,Male,3–6L,Teacher,Married,Rural,No,15
5,Male,3–6L,Teacher,Widowed,Urban,Yes,15
5,Male,3–6L,Teacher,Widowed,Urban,No,15
5,Male,3–6L,Teacher,Widowed,Semi-urban,Yes,15
5,Male,3–6L,Teacher,Widowed,Semi-urban,No,10
5,Male,3–6L,Teacher,Widowed,Rural,Yes,15
5,Male,3–6L,Teacher,Widowed,Rural,No,10
5,Male,3–6L,Self-employed,Single,Urban,Yes,10
5,Male,3–6L,Self-employed,Single,Urban,No,10
5,Male,3–6L,Self-employed,Single,Semi-urban,Yes,10
5,Male,3–6L,Self-employed,Single,Semi-urban,No,15
5,Male,3–6L,Self-employed,Single,Rural,Yes,15
5,Male,3–6L,Self-employed,Single,Rural,No,10
5,Male,3–6L,Self-employed,Married,Urban,Yes,10
5,Male,3–6L,Self-employed,Married,Urban,No,10
5,Male,3–6L,Self-employed,Married,Semi-urban,Yes,15
5,Male,3–6L,Self-employed,Married,Semi-urban,No,10
5,Male,3–6L,Self-employed,Married,Rural,Yes,15
5,Male,3–6L,Self-employed,Married,Rural,No,15
5,Male,3–6L,Self-employed,Widowed,Urban,Yes,15
5,Male,3–6L,Self-employed,Widowed,Urban,No,10
5,Male,3–6L,Self-employed,Widowed,Semi-urban,Yes,10
5,Male,3–6L,Self-employed,Widowed,Semi-urban,No,15
5,Male,3–6L,Self-employed,Widowed,Rural,Yes,10
5,Male,3–6L,Self-employed,Widowed,Rural,No,15
5,Male,3–6L,Engineer,Single,Urban,Yes,10
5,Male,3–6L,Engineer,Single,Urban,No,10
5,Male,3–6L,Engineer,Single,Semi-urban,Yes,15
5,Male,3–6L,Engineer,Single,Semi-urban,No,15
5,Male,3–6L,Engineer,Single,Rural,Yes,15
5,Male,3–6L,Engineer,Single,Rural,No,15
5,Male,3–6L,Engineer,Married,Urban,Yes,10
5,Male,3–6L,Engineer,Married,Urban,No,15
5,Male,3–6L,Engineer,Married,Semi-urban,Yes,15
5,Male,3–6L,Engineer,Married,Semi-urban,No,15
5,Male,3–6L,Engineer,Married,Rural,Yes,10
5,Male,3–6L,Engineer,Married,Rural,No,10
5,Male,3–6L,Engineer,Widowed,Urban,Yes,15
5,Male,3–6L,Engineer,Widowed,Urban,No,15
5,Male,3–6L,Engineer,Widowed,Semi-urban,Yes,15
5,Male,3–6L,Engineer,Widowed,Semi-urban,No,10
5,Male,3–6L,Engineer,Widowed,Rural,Yes,15
5,Male,3–6L,Engineer,Widowed,Rural,No,15
5,Male,6–10L,Farmer,Single,Urban,Yes,10
5,Male,6–10L,Farmer,Single,Urban,No,15
5,Male,6–10L,Farmer,Single,Semi-urban,Yes,15
5,Male,6–10L,Farmer,Single,Semi-urban,No,10
5,Male,6–10L,Farmer,Single,Rural,Yes,10
5,Male,6–10L,Farmer,Single,Rural,No,15
5,Male,6–10L,Farmer,Married,Urban,Yes,15
5,Male,6–10L,Farmer,Married,Urban,No,15
5,Male,6–10L,Farmer,Married,Semi-urban,Yes,10
5,Male,6–10L,Farmer,Married,Semi-urban,No,10
5,Male,6–10L,Farmer,Married,Rural,Yes,15
5,Male,6–10L,Farmer,Married,Rural,No,10
5,Male,6–10L,Farmer,Widowed,Urban,Yes,15
5,Male,6–10L,Farmer,Widowed,Urban,No,15
5,Male,6–10L,Farmer,Widowed,Semi-urban,Yes,10
5,Male,6–10L,Farmer,Widowed,Semi-urban,No,10
5,Male,6–10L,Farmer,Widowed,Rural,Yes,10
5,Male,6–10L,Farmer,Widowed,Rural,No,10
5,Male,6–10L,Clerk,Single,Urban,Yes,15
5,Male,6–10L,Clerk,Single,Urban,No,10
5,Male,6–10L,Clerk,Single,Semi-urban,Yes,10
5,Male,6–10L,Clerk,Single,Semi-urban,No,15
5,Male,6–10L,Clerk,Single,Rural,Yes,10
5,Male,6–10L,Clerk,Single,Rural,No,15
5,Male,6–10L,Clerk,Married,Urban,Yes,15
5,Male,6–10L,Clerk,Married,Urban,No,15
5,Male,6–10L,Clerk,Married,Semi-urban,Yes,15
5,Male,6–10L,Clerk,Married,Semi-urban,No,15
5,Male,6–10L,Clerk,Married,Rural,Yes,10
5,Male,6–10L,Clerk,Married,Rural,No,15
5,Male,6–10L,Clerk,Widowed,Urban,Yes,10
5,Male,6–10L,Clerk,Widowed,Urban,No,15
5,Male,6–10L,Clerk,Widowed,Semi-urban,Yes,10
5,Male,6–10L,Clerk,Widowed,Semi-urban,No,15
5,Male,6–10L,Clerk,Widowed,Rural,Yes,10
5,Male,6–10L,Clerk,Widowed,Rural,No,15
5,Male,6–10L,Business Owner,Single,Urban,Yes,10
5,Male,6–10L,Business Owner,Single,Urban,No,15
5,Male,6–10L,Business Owner,Single,Semi-urban,Yes,10
5,Male,6–10L,Business Owner,Single,Semi-urban,No,15
5,Male,6–10L,Business Owner,Single,Rural,Yes,15
5,Male,6–10L,Business Owner,Single,Rural,No,10
5,Male,6–10L,Business Owner,Married,Urban,Yes,15
5,Male,6–10L,Business Owner,Married,Urban,No,15
5,Male,6–10L,Business Owner,Married,Semi-urban,Yes,15
5,Male,6–10L,Business Owner,Married,Semi-urban,No,10
5,Male,6–10L,Business Owner,Married,Rural,Yes,15
5,Male,6–10L,Business Owner,Married,Rural,No,15
5,Male,6–10L,Business Owner,Widowed,Urban,Yes,15
5,Male,6–10L,Business Owner,Widowed,Urban,No,15
5,Male,6–10L,Business Owner,Widowed,Semi-urban,Yes,15
5,Male,6–10L,Business Owner,Widowed,Semi-urban,No,10
5,Male,6–10L,Business Owner,Widowed,Rural,Yes,15
5,Male,6–10L,Business Owner,Widowed,Rural,No,10
5,Male,6–10L,Teacher,Single,Urban,Yes,15
5,Male,6–10L,Teacher,Single,Urban,No,10
5,Male,6–10L,Teacher,Single,Semi-urban,Yes,10
5,Male,6–10L,Teacher,Single,Semi-urban,No,10
5,Male,6–10L,Teacher,Single,Rural,Yes,10
5,Male,6–10L,Teacher,Single,Rural,No,15
5,Male,6–10L,Teacher,Married,Urban,Yes,15
5,Male,6–10L,Teacher,Married,Urban,No,10
5,Male,6–10L,Teacher,Married,Semi-urban,Yes,15
5,Male,6–10L,Teacher,Married,Semi-urban,No,10
5,Male,6–10L,Teacher,Married,Rural,Yes,10
5,Male,6–10L,Teacher,Married,Rural,No,10
5,Male,6–10L,Teacher,Widowed,Urban,Yes,15
5,Male,6–10L,Teacher,Widowed,Urban,No,15
5,Male,6–10L,Teacher,Widowed,Semi-urban,Yes,15
5,Male,6–10L,Teacher,Widowed,Semi-urban,No,10
5,Male,6–10L,Teacher,Widowed,Rural,Yes,15
5,Male,6–10L,Teacher,Widowed,Rural,No,15
5,Male,6–10L,Self-employed,Single,Urban,Yes,10
5,Male,6–10L,Self-employed,Single,Urban,No,10
5,Male,6–10L,Self-employed,Single,Semi-urban,Yes,15
5,Male,6–10L,Self-employed,Single,Semi-urban,No,15
5,Male,6–10L,Self-employed,Single,Rural,Yes,15
5,Male,6–10L,Self-employed,Single,Rural,No,10
5,Male,6–10L,Self-employed,Married,Urban,Yes,15
5,Male,6–10L,Self-employed,Married,Urban,No,10
5,Male,6–10L,Self-employed,Married,Semi-urban,Yes,15
5,Male,6–10L,Self-employed,Married,Semi-urban,No,15
5,Male,6–10L,Self-employed,Married,Rural,Yes,10
5,Male,6–10L,Self-employed,Married,Rural,No,10
5,Male,6–10L,Self-employed,Widowed,Urban,Yes,15
5,Male,6–10L,Self-employed,Widowed,Urban,No,10
5,Male,6–10L,Self-employed,Widowed,Semi-urban,Yes,15
5,Male,6–10L,Self-employed,Widowed,Semi-urban,No,15
5,Male,6–10L,Self-employed,Widowed,Rural,Yes,15
5,Male,6–10L,Self-employed,Widowed,Rural,No,10
5,Male,6–10L,Engineer,Single,Urban,Yes,10
5,Male,6–10L,Engineer,Single,Urban,No,15
5,Male,6–10L,Engineer,Single,Semi-urban,Yes,10
5,Male,6–10L,Engineer,Single,Semi-urban,No,10
5,Male,6–10L,Engineer,Single,Rural,Yes,10
5,Male,6–10L,Engineer,Single,Rural,No,10
5,Male,6–10L,Engineer,Married,Urban,Yes,10
5,Male,6–10L,Engineer,Married,Urban,No,10
5,Male,6–10L,Engineer,Married,Semi-urban,Yes,15
5,Male,6–10L,Engineer,Married,Semi-urban,No,10
5,Male,6–10L,Engineer,Married,Rural,Yes,15
5,Male,6–10L,Engineer,Married,Rural,No,10
5,Male,6–10L,Engineer,Widowed,Urban,Yes,15
5,Male,6–10L,Engineer,Widowed,Urban,No,15
5,Male,6–10L,Engineer,Widowed,Semi-urban,Yes,10
5,Male,6–10L,Engineer,Widowed,Semi-urban,No,10
5,Male,6–10L,Engineer,Widowed,Rural,Yes,10
5,Male,6–10L,Engineer,Widowed,Rural,No,15
5,Male,10L+,Farmer,Single,Urban,Yes,10
5,Male,10L+,Farmer,Single,Urban,No,10
5,Male,10L+,Farmer,Single,Semi-urban,Yes,10
5,Male,10L+,Farmer,Single,Semi-urban,No,10
5,Male,10L+,Farmer,Single,Rural,Yes,10
5,Male,10L+,Farmer,Single,Rural,No,15
5,Male,10L+,Farmer,Married,Urban,Yes,15
5,Male,10L+,Farmer,Married,Urban,No,15
5,Male,10L+,Farmer,Married,Semi-urban,Yes,15
5,Male,10L+,Farmer,Married,Semi-urban,No,15
5,Male,10L+,Farmer,Married,Rural,Yes,15
5,Male,10L+,Farmer,Married,Rural,No,10
5,Male,10L+,Farmer,Widowed,Urban,Yes,10
5,Male,10L+,Farmer,Widowed,Urban,No,10
5,Male,10L+,Farmer,Widowed,Semi-urban,Yes,10
5,Male,10L+,Farmer,Widowed,Semi-urban,No,10
5,Male,10L+,Farmer,Widowed,Rural,Yes,10
5,Male,10L+,Farmer,Widowed,Rural,No,15
5,Male,10L+,Clerk,Single,Urban,Yes,15
5,Male,10L+,Clerk,Single,Urban,No,15
5,Male,10L+,Clerk,Single,Semi-urban,Yes,15
5,Male,10L+,Clerk,Single,Semi-urban,No,10
5,Male,10L+,Clerk,Single,Rural,Yes,15
5,Male,10L+,Clerk,Single,Rural,No,15
5,Male,10L+,Clerk,Married,Urban,Yes,15
5,Male,10L+,Clerk,Married,Urban,No,15
5,Male,10L+,Clerk,Married,Semi-urban,Yes,10
5,Male,10L+,Clerk,Married,Semi-urban,No,10
5,Male,10L+,Clerk,Married,Rural,Yes,15
5,Male,10L+,Clerk,Married,Rural,No,10
5,Male,10L+,Clerk,Widowed,Urban,Yes,10
5,Male,10L+,Clerk,Widowed,Urban,No,10
5,Male,10L+,Clerk,Widowed,Semi-urban,Yes,15
5,Male,10L+,Clerk,Widowed,Semi-urban,No,10
5,Male,10L+,Clerk,Widowed,Rural,Yes,15
5,Male,10L+,Clerk,Widowed,Rural,No,10
5,Male,10L+,Business Owner,Single,Urban,Yes,10
5,Male,10L+,Business Owner,Single,Urban,No,10
5,Male,10L+,Business Owner,Single,Semi-urban,Yes,10
5,Male,10L+,Business Owner,Single,Semi-urban,No,15
5,Male,10L+,Business Owner,Single,Rural,Yes,15
5,Male,10L+,Business Owner,Single,Rural,No,10
5,Male,10L+,Business Owner,Married,Urban,Yes,10
5,Male,10L+,Business Owner,Married,Urban,No,10
5,Male,10L+,Business Owner,Married,Semi-urban,Yes,15
5,Male,10L+,Business Owner,Married,Semi-urban,No,10
5,Male,10L+,Business Owner,Married,Rural,Yes,10
5,Male,10L+,Business Owner,Married,Rural,No,15
5,Male,10L+,Business Owner,Widowed,Urban,Yes,15
5,Male,10L+,Business Owner,Widowed,Urban,No,15
5,Male,10L+,Business Owner,Widowed,Semi-urban,Yes,10
5,Male,10L+,Business Owner,Widowed,Semi-urban,No,10
5,Male,10L+,Business Owner,Widowed,Rural,Yes,10
5,Male,10L+,Business Owner,Widowed,Rural,No,15
5,Male,10L+,Teacher,Single,Urban,Yes,10
5,Male,10L+,Teacher,Single,Urban,No,10
5,Male,10L+,Teacher,Single,Semi-urban,Yes,10
5,Male,10L+,Teacher,Single,Semi-urban,No,10
5,Male,10L+,Teacher,Single,Rural,Yes,10
5,Male,10L+,Teacher,Single,Rural,No,10
5,Male,10L+,Teacher,Married,Urban,Yes,15
5,Male,10L+,Teacher,Married,Urban,No,10
5,Male,10L+,Teacher,Married,Semi-urban,Yes,10
5,Male,10L+,Teacher,Married,Semi-urban,No,10
5,Male,10L+,Teacher,Married,Rural,Yes,15
5,Male,10L+,Teacher,Married,Rural,No,10
5,Male,10L+,Teacher,Widowed,Urban,Yes,15
5,Male,10L+,Teacher,Widowed,Urban,No,15
5,Male,10L+,Teacher,Widowed,Semi-urban,Yes,15
5,Male,10L+,Teacher,Widowed,Semi-urban,No,10
5,Male,10L+,Teacher,Widowed,Rural,Yes,15
5,Male,10L+,Teacher,Widowed,Rural,No,15
5,Male,10L+,Self-employed,Single,Urban,Yes,15
5,Male,10L+,Self-employed,Single,Urban,No,10
5,Male,10L+,Self-employed,Single,Semi-urban,Yes,15
5,Male,10L+,Self-employed,Single,Semi-urban,No,15
5,Male,10L+,Self-employed,Single,Rural,Yes,15
5,Male,10L+,Self-employed,Single,Rural,No,15
5,Male,10L+,Self-employed,Married,Urban,Yes,15
5,Male,10L+,Self-employed,Married,Urban,No,15
5,Male,10L+,Self-employed,Married,Semi-urban,Yes,15
5,Male,10L+,Self-employed,Married,Semi-urban,No,10
5,Male,10L+,Self-employed,Married,Rural,Yes,10
5,Male,10L+,Self-employed,Married,Rural,No,15
5,Male,10L+,Self-employed,Widowed,Urban,Yes,10
5,Male,10L+,Self-employed,Widowed,Urban,No,10
5,Male,10L+,Self-employed,Widowed,Semi-urban,Yes,15
5,Male,10L+,Self-employed,Widowed,Semi-urban,No,15
5,Male,10L+,Self-employed,Widowed,Rural,Yes,15
5,Male,10L+,Self-employed,Widowed,Rural,No,10
5,Male,10L+,Engineer,Single,Urban,Yes,15
5,Male,10L+,Engineer,Single,Urban,No,10
5,Male,10L+,Engineer,Single,Semi-urban,Yes,15
5,Male,10L+,Engineer,Single,Semi-urban,No,10
5,Male,10L+,Engineer,Single,Rural,Yes,15
5,Male,10L+,Engineer,Single,Rural,No,10
5,Male,10L+,Engineer,Married,Urban,Yes,15
5,Male,10L+,Engineer,Married,Urban,No,10
5,Male,10L+,Engineer,Married,Semi-urban,Yes,10
5,Male,10L+,Engineer,Married,Semi-urban,No,15
5,Male,10L+,Engineer,Married,Rural,Yes,10
5,Male,10L+,Engineer,Married,Rural,No,10
5,Male,10L+,Engineer,Widowed,Urban,Yes,15
5,Male,10L+,Engineer,Widowed,Urban,No,15
5,Male,10L+,Engineer,Widowed,Semi-urban,Yes,15
5,Male,10L+,Engineer,Widowed,Semi-urban,No,10
5,Male,10L+,Engineer,Widowed,Rural,Yes,15
5,Male,10L+,Engineer,Widowed,Rural,No,10
5,Female,<3L,Farmer,Single,Urban,Yes,15
5,Female,<3L,Farmer,Single,Urban,No,10
5,Female,<3L,Farmer,Single,Semi-urban,Yes,10
5,Female,<3L,Farmer,Single,Semi-urban,No,10
5,Female,<3L,Farmer,Single,Rural,Yes,15
5,Female,<3L,Farmer,Single,Rural,No,10
5,Female,<3L,Farmer,Married,Urban,Yes,15
5,Female,<3L,Farmer,Married,Urban,No,15
5,Female,<3L,Farmer,Married,Semi-urban,Yes,15
5,Female,<3L,Farmer,Married,Semi-urban,No,10
5,Female,<3L,Farmer,Married,Rural,Yes,10
5,Female,<3L,Farmer,Married,Rural,No,15
5,Female,<3L,Farmer,Widowed,Urban,Yes,10
5,Female,<3L,Farmer,Widowed,Urban,No,15
5,Female,<3L,Farmer,Widowed,Semi-urban,Yes,15
5,Female,<3L,Farmer,Widowed,Semi-urban,No,15
5,Female,<3L,Farmer,Widowed,Rural,Yes,15
5,Female,<3L,Farmer,Widowed,Rural,No,10
5,Female,<3L,Clerk,Single,Urban,Yes,15
5,Female,<3L,Clerk,Single,Urban,No,15
5,Female,<3L,Clerk,Single,Semi-urban,Yes,10
5,Female,<3L,Clerk,Single,Semi-urban,No,10
5,Female,<3L,Clerk,Single,Rural,Yes,10
5,Female,<3L,Clerk,Single,Rural,No,15
5,Female,<3L,Clerk,Married,Urban,Yes,10
5,Female,<3L,Clerk,Married,Urban,No,15
5,Female,<3L,Clerk,Married,Semi-urban,Yes,15
5,Female,<3L,Clerk,Married,Semi-urban,No,10
5,Female,<3L,Clerk,Married,Rural,Yes,10
5,Female,<3L,Clerk,Married,Rural,No,10
5,Female,<3L,Clerk,Widowed,Urban,Yes,15
5,Female,<3L,Clerk,Widowed,Urban,No,15
5,Female,<3L,Clerk,Widowed,Semi-urban,Yes,10
5,Female,<3L,Clerk,Widowed,Semi-urban,No,15
5,Female,<3L,Clerk,Widowed,Rural,Yes,15
5,Female,<3L,Clerk,Widowed,Rural,No,15
5,Female,<3L,Business Owner,Single,Urban,Yes,15
5,Female,<3L,Business Owner,Single,Urban,No,15
5,Female,<3L,Business Owner,Single,Semi-urban,Yes,10
5,Female,<3L,Business Owner,Single,Semi-urban,No,10
5,Female,<3L,Business Owner,Single,Rural,Yes,15
5,Female,<3L,Business Owner,Single,Rural,No,10
5,Female,<3L,Business Owner,Married,Urban,Yes,10
5,Female,<3L,Business Owner,Married,Urban,No,10
5,Female,<3L,Business Owner,Married,Semi-urban,Yes,10
5,Female,<3L,Business Owner,Married,Semi-urban,No,15
5,Female,<3L,Business Owner,Married,Rural,Yes,10
5,Female,<3L,Business Owner,Married,Rural,No,10
5,Female,<3L,Business Owner,Widowed,Urban,Yes,15
5,Female,<3L,Business Owner,Widowed,Urban,No,10
5,Female,<3L,Business Owner,Widowed,Semi-urban,Yes,10
5,Female,<3L,Business Owner,Widowed,Semi-urban,No,10
5,Female,<3L,Business Owner,Widowed,Rural,Yes,10
5,Female,<3L,Business Owner,Widowed,Rural,No,10
5,Female,<3L,Teacher,Single,Urban,Yes,10
5,Female,<3L,Teacher,Single,Urban,No,15
5,Female,<3L,Teacher,Single,Semi-urban,Yes,15
